---,DisplayName,Grade,Slot,WeaponType,StatModifiers,Icon,MaxStack,CraftMaterialA,CraftMaterialB
morning_star,"모닝스타","Rare","Weapon","Hammer","(((AttributeName=""AttackPower"",Attribute=/Script/EternalReturn.ERAttributeSet:AttackPower,AttributeOwner=""/Script/CoreUObject.Class'/Script/EternalReturn.ERAttributeSet'""), 30.000000))","None","1","warhammer","iron_ball"
fate_hammer,"운명의 망치","Rare","Weapon","Hammer","(((AttributeName=""AttackPower"",Attribute=/Script/EternalReturn.ERAttributeSet:AttackPower,AttributeOwner=""/Script/CoreUObject.Class'/Script/EternalReturn.ERAttributeSet'""), 30.000000))","None","1","deer_hammer","playing_cards"
wolf_fang_club,"낭아봉","Hero","Weapon","Hammer","(((AttributeName=""AttackPower"",Attribute=/Script/EternalReturn.ERAttributeSet:AttackPower,AttributeOwner=""/Script/CoreUObject.Class'/Script/EternalReturn.ERAttributeSet'""), 34.000000))","None","1","morning_star","horse_tally"
dagda_hammer,"다그다의 망치","Hero","Weapon","Hammer","(((AttributeName=""AttackPower"",Attribute=/Script/EternalReturn.ERAttributeSet:AttackPower,AttributeOwner=""/Script/CoreUObject.Class'/Script/EternalReturn.ERAttributeSet'""), 80.000000))","None","1","warhammer","diamond"
knowledge_is_power,"아는 것이 힘","Hero","Weapon","Hammer","(((AttributeName=""AttackPower"",Attribute=/Script/EternalReturn.ERAttributeSet:AttackPower,AttributeOwner=""/Script/CoreUObject.Class'/Script/EternalReturn.ERAttributeSet'""), 34.000000))","None","1","deer_hammer","hardcover"
thousand_weight,"천근추","Hero","Weapon","Hammer","(((AttributeName=""AttackPower"",Attribute=/Script/EternalReturn.ERAttributeSet:AttackPower,AttributeOwner=""/Script/CoreUObject.Class'/Script/EternalReturn.ERAttributeSet'""), 82.000000))","None","1","fate_hammer","glass_bottle"
thor_hammer,"토르의 망치","Hero","Weapon","Hammer","(((AttributeName=""AttackPower"",Attribute=/Script/EternalReturn.ERAttributeSet:AttackPower,AttributeOwner=""/Script/CoreUObject.Class'/Script/EternalReturn.ERAttributeSet'""), 95.000000))","None","1","fate_hammer","battery"
evening_star,"개밥바라기","Legend","Weapon","Hammer","(((AttributeName=""AttackPower"",Attribute=/Script/EternalReturn.ERAttributeSet:AttackPower,AttributeOwner=""/Script/CoreUObject.Class'/Script/EternalReturn.ERAttributeSet'""), 40.000000))","None","1","hammer","meteorite"
doomsday,"둠스데이","Legend","Weapon","Hammer","(((AttributeName=""AttackPower"",Attribute=/Script/EternalReturn.ERAttributeSet:AttackPower,AttributeOwner=""/Script/CoreUObject.Class'/Script/EternalReturn.ERAttributeSet'""), 40.000000))","None","1","iron_ball","mithril"
leviathan,"레비아탄","Legend","Weapon","Hammer","(((AttributeName=""AttackPower"",Attribute=/Script/EternalReturn.ERAttributeSet:AttackPower,AttributeOwner=""/Script/CoreUObject.Class'/Script/EternalReturn.ERAttributeSet'""), 110.000000))","None","1","hammer","mithril"
squeaky_hammer,"뿅망치","Legend","Weapon","Hammer","(((AttributeName=""AttackPower"",Attribute=/Script/EternalReturn.ERAttributeSet:AttackPower,AttributeOwner=""/Script/CoreUObject.Class'/Script/EternalReturn.ERAttributeSet'""), 82.000000))","None","1","hammer","tree_of_life"
peacebringer,"피스브링어","Transcendent","Weapon","Hammer","(((AttributeName=""AttackPower"",Attribute=/Script/EternalReturn.ERAttributeSet:AttackPower,AttributeOwner=""/Script/CoreUObject.Class'/Script/EternalReturn.ERAttributeSet'""), 50.000000))","None","1","hammer","vf_blood_sample"
peacebringer_crimson,"피스브링어-진홍","Transcendent","Weapon","Hammer","(((AttributeName=""AttackPower"",Attribute=/Script/EternalReturn.ERAttributeSet:AttackPower,AttributeOwner=""/Script/CoreUObject.Class'/Script/EternalReturn.ERAttributeSet'""), 102.000000))","None","1","peacebringer","crimson_shard"
peacebringer_dawn,"피스브링어-새벽","Transcendent","Weapon","Hammer","(((AttributeName=""AttackPower"",Attribute=/Script/EternalReturn.ERAttributeSet:AttackPower,AttributeOwner=""/Script/CoreUObject.Class'/Script/EternalReturn.ERAttributeSet'""), 48.000000))","None","1","peacebringer","dawn_shard"
rubber,"고무","Common","None","None","()","None","3","None","None"
nail,"못","Common","None","None","()","None","2","None","None"
iron_ball,"쇠구슬","Common","None","None","()","None","3","None","None"
playing_cards,"트럼프 카드","Common","None","None","()","None","3","None","None"
horse_tally,"마패","Uncommon","None","None","()","None","3","None","None"
diamond,"다이아몬드","Uncommon","None","None","()","None","3","None","None"
hardcover,"하드커버","Uncommon","None","None","()","None","3","None","None"
glass_bottle,"유리병","Common","None","None","()","None","3","None","None"
battery,"배터리","Uncommon","None","None","()","None","3","None","None"
meteorite,"운석","Legend","None","None","()","None","1","None","None"
mithril,"미스릴","Legend","None","None","()","None","1","None","None"
tree_of_life,"생명의 나무","Legend","None","None","()","None","1","None","None"
vf_blood_sample,"VF 혈액 샘플","Transcendent","None","None","()","None","1","None","None"
crimson_shard,"진홍의 샤드","Transcendent","None","None","()","None","1","None","None"
dawn_shard,"새벽빛 샤드","Transcendent","None","None","()","None","1","None","None"
branch,"나뭇가지","Common","None","None","()","None","3","None","None"
flower,"꽃","Common","None","None","()","None","2","None","None"
